TurbID,DATATIME,YD15
1,2020/1/21 0:00,5685
1,2020/1/21 0:15,6142
1,2020/1/21 0:30,6569
1,2020/1/21 0:45,8868
1,2020/1/21 1:00,8478
1,2020/1/21 1:15,2504
1,2020/1/21 1:30,663
1,2020/1/21 1:45,6991
1,2020/1/21 2:00,17491
1,2020/1/21 2:15,6868
1,2020/1/21 2:30,-59
1,2020/1/21 2:45,-242
1,2020/1/21 3:00,-187
1,2020/1/21 3:15,-261
1,2020/1/21 3:30,-262
1,2020/1/21 3:45,-219
1,2020/1/21 4:00,-124
1,2020/1/21 4:15,-110
1,2020/1/21 4:30,-252
1,2020/1/21 4:45,-153
1,2020/1/21 5:00,1384
1,2020/1/21 5:15,2356
1,2020/1/21 5:30,4142
1,2020/1/21 5:45,1753
1,2020/1/21 6:00,2020
1,2020/1/21 6:15,2023
1,2020/1/21 6:30,1019
1,2020/1/21 6:45,-226
1,2020/1/21 7:00,-108
1,2020/1/21 7:15,-145
1,2020/1/21 7:30,923
1,2020/1/21 7:45,2468
1,2020/1/21 8:00,2847
1,2020/1/21 8:15,4189
1,2020/1/21 8:30,5740
1,2020/1/21 8:45,1052
1,2020/1/21 9:00,232
1,2020/1/21 9:15,-57
1,2020/1/21 9:30,-267
1,2020/1/21 9:45,-286
1,2020/1/21 10:00,-265
1,2020/1/21 10:15,-264
1,2020/1/21 10:30,-284
1,2020/1/21 10:45,-248
1,2020/1/21 11:00,-293
1,2020/1/21 11:15,-260
1,2020/1/21 11:30,-261
1,2020/1/21 11:45,-260
1,2020/1/21 12:00,-261
1,2020/1/21 12:15,-289
1,2020/1/21 12:30,-263
1,2020/1/21 12:45,-288
1,2020/1/21 13:00,-260
1,2020/1/21 13:15,-259
1,2020/1/21 13:30,-248
1,2020/1/21 13:45,-263
1,2020/1/21 14:00,-284
1,2020/1/21 14:15,-290
1,2020/1/21 14:30,-278
1,2020/1/21 14:45,-245
1,2020/1/21 15:00,-272
1,2020/1/21 15:15,-307
1,2020/1/21 15:30,-257
1,2020/1/21 15:45,-277
1,2020/1/21 16:00,-267
1,2020/1/21 16:15,-284
1,2020/1/21 16:30,-227
1,2020/1/21 16:45,-254
1,2020/1/21 17:00,-265
1,2020/1/21 17:15,-245
1,2020/1/21 17:30,-380
1,2020/1/21 17:45,-312
1,2020/1/21 18:00,-318
1,2020/1/21 18:15,-180
1,2020/1/21 18:30,-188
1,2020/1/21 18:45,42
1,2020/1/21 19:00,81
1,2020/1/21 19:15,652
1,2020/1/21 19:30,3592
1,2020/1/21 19:45,5024
1,2020/1/21 20:00,5836
1,2020/1/21 20:15,6064
1,2020/1/21 20:30,4572
1,2020/1/21 20:45,5684
1,2020/1/21 21:00,9449
1,2020/1/21 21:15,6441
1,2020/1/21 21:30,5243
1,2020/1/21 21:45,5761
1,2020/1/21 22:00,5155
1,2020/1/21 22:15,6038
1,2020/1/21 22:30,2642
1,2020/1/21 22:45,1891
1,2020/1/21 23:00,83
1,2020/1/21 23:15,-253
1,2020/1/21 23:30,-373
1,2020/1/21 23:45,-308
1,2020/1/22 0:00,315
1,2020/1/22 0:15,5319
1,2020/1/22 0:30,5135
1,2020/1/22 0:45,8284
1,2020/1/22 1:00,10542
1,2020/1/22 1:15,9347
1,2020/1/22 1:30,6514
1,2020/1/22 1:45,4797
1,2020/1/22 2:00,6786
1,2020/1/22 2:15,8085
1,2020/1/22 2:30,11091
1,2020/1/22 2:45,15254
1,2020/1/22 3:00,16020
1,2020/1/22 3:15,20514
1,2020/1/22 3:30,22425
1,2020/1/22 3:45,19979
1,2020/1/22 4:00,22650
1,2020/1/22 4:15,21362
1,2020/1/22 4:30,25780
1,2020/1/22 4:45,20812
1,2020/1/22 5:00,20369
1,2020/1/22 5:15,16755
1,2020/1/22 5:30,15342
1,2020/1/22 5:45,14582
1,2020/1/22 6:00,16148
1,2020/1/22 6:15,17889
1,2020/1/22 6:30,14819
1,2020/1/22 6:45,7888
1,2020/1/22 7:00,8776
1,2020/1/22 7:15,9389
1,2020/1/22 7:30,15220
1,2020/1/22 7:45,12471
1,2020/1/22 8:00,10240
1,2020/1/22 8:15,7500
1,2020/1/22 8:30,8638
1,2020/1/22 8:45,14983
1,2020/1/22 9:00,12838
1,2020/1/22 9:15,11961
1,2020/1/22 9:30,12562
1,2020/1/22 9:45,11228
1,2020/1/22 10:00,7184
1,2020/1/22 10:15,6698
1,2020/1/22 10:30,7415
1,2020/1/22 10:45,10982
1,2020/1/22 11:00,8699
1,2020/1/22 11:15,8181
1,2020/1/22 11:30,8468
1,2020/1/22 11:45,8674
1,2020/1/22 12:00,7938
1,2020/1/22 12:15,8326
1,2020/1/22 12:30,10506
1,2020/1/22 12:45,8724
1,2020/1/22 13:00,10090
1,2020/1/22 13:15,8606
1,2020/1/22 13:30,9715
1,2020/1/22 13:45,10132
1,2020/1/22 14:00,9711
1,2020/1/22 14:15,8953
1,2020/1/22 14:30,6156
1,2020/1/22 14:45,6356
1,2020/1/22 15:00,6795
1,2020/1/22 15:15,4960
1,2020/1/22 15:30,4173
1,2020/1/22 15:45,5055
1,2020/1/22 16:00,4051
1,2020/1/22 16:15,3895
1,2020/1/22 16:30,4760
1,2020/1/22 16:45,5733
1,2020/1/22 17:00,4876
1,2020/1/22 17:15,4833
1,2020/1/22 17:30,9012
1,2020/1/22 17:45,8468
1,2020/1/22 18:00,9796
1,2020/1/22 18:15,11679
1,2020/1/22 18:30,13998
1,2020/1/22 18:45,13635
1,2020/1/22 19:00,14488
1,2020/1/22 19:15,17684
1,2020/1/22 19:30,20673
1,2020/1/22 19:45,18395
1,2020/1/22 20:00,15808
1,2020/1/22 20:15,12376
1,2020/1/22 20:30,12224
1,2020/1/22 20:45,10146
1,2020/1/22 21:00,15007
1,2020/1/22 21:15,19523
1,2020/1/22 21:30,18126
1,2020/1/22 21:45,17520
1,2020/1/22 22:00,24753
1,2020/1/22 22:15,19220
1,2020/1/22 22:30,12767
1,2020/1/22 22:45,9759
1,2020/1/22 23:00,12900
1,2020/1/22 23:15,10902
1,2020/1/22 23:30,12305
1,2020/1/22 23:45,8957
1,2020/1/23 0:00,9811
1,2020/1/23 0:15,9555
1,2020/1/23 0:30,9213
1,2020/1/23 0:45,6945
1,2020/1/23 1:00,4694
1,2020/1/23 1:15,2844
1,2020/1/23 1:30,757
1,2020/1/23 1:45,734
1,2020/1/23 2:00,3013
1,2020/1/23 2:15,8737
1,2020/1/23 2:30,7145
1,2020/1/23 2:45,6993
1,2020/1/23 3:00,11755
1,2020/1/23 3:15,11400
1,2020/1/23 3:30,7415
1,2020/1/23 3:45,5552
1,2020/1/23 4:00,5226
1,2020/1/23 4:15,5300
1,2020/1/23 4:30,7574
1,2020/1/23 4:45,7588
1,2020/1/23 5:00,7728
1,2020/1/23 5:15,7621
1,2020/1/23 5:30,7344
1,2020/1/23 5:45,9004
1,2020/1/23 6:00,10827
1,2020/1/23 6:15,9198
1,2020/1/23 6:30,6159
1,2020/1/23 6:45,4514
1,2020/1/23 7:00,4335
1,2020/1/23 7:15,3929
1,2020/1/23 7:30,1506
1,2020/1/23 7:45,1175
1,2020/1/23 8:00,1553
1,2020/1/23 8:15,2325
1,2020/1/23 8:30,1965
1,2020/1/23 8:45,150
1,2020/1/23 9:00,-21
1,2020/1/23 9:15,-208
1,2020/1/23 9:30,-299
1,2020/1/23 9:45,-305
1,2020/1/23 10:00,-314
1,2020/1/23 10:15,-308
1,2020/1/23 10:30,-316
1,2020/1/23 10:45,-282
1,2020/1/23 11:00,-282
1,2020/1/23 11:15,-292
1,2020/1/23 11:30,-286
1,2020/1/23 11:45,-329
1,2020/1/23 12:00,-278
1,2020/1/23 12:15,-336
1,2020/1/23 12:30,-270
1,2020/1/23 12:45,-319
1,2020/1/23 13:00,-284
1,2020/1/23 13:15,-305
1,2020/1/23 13:30,-342
1,2020/1/23 13:45,-292
1,2020/1/23 14:00,-323
1,2020/1/23 14:15,-284
1,2020/1/23 14:30,-259
1,2020/1/23 14:45,-288
1,2020/1/23 15:00,-317
1,2020/1/23 15:15,-306
1,2020/1/23 15:30,-234
1,2020/1/23 15:45,-332
1,2020/1/23 16:00,-279
1,2020/1/23 16:15,-311
1,2020/1/23 16:30,556
1,2020/1/23 16:45,2764
1,2020/1/23 17:00,2141
1,2020/1/23 17:15,1001
1,2020/1/23 17:30,1321
1,2020/1/23 17:45,151
1,2020/1/23 18:00,-134
1,2020/1/23 18:15,-228
1,2020/1/23 18:30,-294
1,2020/1/23 18:45,-300
1,2020/1/23 19:00,-305
1,2020/1/23 19:15,-273
1,2020/1/23 19:30,-295
1,2020/1/23 19:45,-283
1,2020/1/23 20:00,-259
1,2020/1/23 20:15,-287
1,2020/1/23 20:30,-305
1,2020/1/23 20:45,-284
1,2020/1/23 21:00,-270
1,2020/1/23 21:15,-278
1,2020/1/23 21:30,-263
1,2020/1/23 21:45,-319
1,2020/1/23 22:00,-189
1,2020/1/23 22:15,4413
1,2020/1/23 22:30,9142
1,2020/1/23 22:45,-158
1,2020/1/23 23:00,-91
1,2020/1/23 23:15,-210
1,2020/1/23 23:30,-243
1,2020/1/23 23:45,-304
1,2020/1/24 0:00,-296
1,2020/1/24 0:15,-272
1,2020/1/24 0:30,-270
1,2020/1/24 0:45,-286
1,2020/1/24 1:00,-301
1,2020/1/24 1:15,-277
1,2020/1/24 1:30,-415
1,2020/1/24 1:45,-523
1,2020/1/24 2:00,-309
1,2020/1/24 2:15,-68
1,2020/1/24 2:30,-308
1,2020/1/24 2:45,-295
1,2020/1/24 3:00,-279
1,2020/1/24 3:15,-296
1,2020/1/24 3:30,-287
1,2020/1/24 3:45,-397
1,2020/1/24 4:00,-266
1,2020/1/24 4:15,-286
1,2020/1/24 4:30,-305
