TurbID,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
6,2023/06/09 00:00,2.3,1814,23,-7.8,68,1079,15.2,4223,17177.5
6,2023/06/09 00:15,19.4,4418,188,48.0,69,848,5.3,19277,4142.5
6,2023/06/09 00:30,0.8,212,162,-5.9,89,984,8.0,13601,8905.8
6,2023/06/09 00:45,9.4,3325,139,17.5,81,1163,3.2,14393,18467.5
6,2023/06/09 01:00,19.7,9129,109,24.1,87,1017,17.4,14833,2135.9
6,2023/06/09 01:15,7.6,15639,346,17.2,19,1050,11.9,14468,8913.8
6,2023/06/09 01:30,14.3,7591,343,-15.2,96,905,0.3,15604,9849.8
6,2023/06/09 01:45,18.8,784,354,32.3,0,1081,13.2,15042,19344.3
6,2023/06/09 02:00,6.8,12744,190,-4.9,30,1051,2.6,18534,14120.1
6,2023/06/09 02:15,19.2,3460,293,4.2,58,1007,2.2,11273,10292.3
6,2023/06/09 02:30,8.8,1957,54,3.9,42,1007,2.0,18038,1076.4
6,2023/06/09 02:45,6.8,10135,352,46.1,90,842,14.1,2683,9761.0
6,2023/06/09 03:00,15.6,11714,295,-11.4,76,1065,0.8,2529,9955.4
6,2023/06/09 03:15,6.8,3787,47,-5.6,97,903,18.1,14455,6024.0
6,2023/06/09 03:30,17.7,2930,70,-3.6,79,917,1.8,1800,10348.8
6,2023/06/09 03:45,2.4,16984,112,-5.5,9,864,15.0,2129,8254.0
6,2023/06/09 04:00,11.6,19504,169,14.6,79,1150,15.5,12472,6263.4
6,2023/06/09 04:15,5.8,10774,227,17.5,69,932,19.6,17856,5427.3
6,2023/06/09 04:30,3.1,9306,41,40.6,61,1091,4.6,18412,11383.0
6,2023/06/09 04:45,2.5,5565,44,17.6,90,974,9.9,3992,15325.3
6,2023/06/09 05:00,15.2,3873,86,7.5,67,1116,17.1,5573,14304.1
6,2023/06/09 05:15,8.9,9051,223,37.3,82,990,5.5,5366,14989.7
6,2023/06/09 05:30,11.5,7640,132,-11.9,49,942,13.4,19436,10730.5
6,2023/06/09 05:45,2.6,10637,107,1.4,19,955,16.6,14995,382.5
6,2023/06/09 06:00,19.9,442,5,36.1,83,916,1.1,14070,10566.5
6,2023/06/09 06:15,4.9,12130,40,-1.3,43,1016,14.7,18311,4264.9
6,2023/06/09 06:30,17.8,12527,197,-15.5,76,929,17.5,658,15978.7
6,2023/06/09 06:45,14.6,19724,245,-0.8,16,808,1.7,13248,14444.2
6,2023/06/09 07:00,3.4,16066,209,-10.7,84,841,14.9,4502,7257.8
6,2023/06/09 07:15,18.9,137,167,7.3,8,1119,14.4,13379,5974.8
6,2023/06/09 07:30,11.5,2272,282,-4.6,12,896,3.7,9775,13405.2
