TurbID,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
5,2023/06/09 00:00,16.2,11693,293,23.4,61,988,10.4,18326,17382.4
5,2023/06/09 00:15,16.6,497,214,-3.9,1,838,9.4,13288,17604.4
5,2023/06/09 00:30,17.0,11828,68,13.1,16,1064,12.9,5780,531.4
5,2023/06/09 00:45,1.0,4202,303,32.4,62,929,7.6,16358,6064.4
5,2023/06/09 01:00,12.2,11040,200,33.7,19,1036,0.9,11725,1274.5
5,2023/06/09 01:15,6.4,16524,232,-4.6,92,1191,8.6,5667,12769.2
5,2023/06/09 01:30,11.3,17708,43,-13.8,40,1090,8.6,19862,8114.4
5,2023/06/09 01:45,17.6,18786,353,-2.7,53,932,3.6,5828,2327.4
5,2023/06/09 02:00,4.3,15627,161,21.4,92,886,11.6,12960,354.4
5,2023/06/09 02:15,8.2,10082,263,-7.3,87,929,4.9,17888,16544.0
5,2023/06/09 02:30,6.4,16603,272,-17.4,23,978,3.8,15900,6051.3
5,2023/06/09 02:45,17.4,9645,356,-14.6,60,941,14.4,17103,4206.5
5,2023/06/09 03:00,11.1,5221,321,39.7,57,1132,5.2,17105,17112.0
5,2023/06/09 03:15,18.5,9494,359,-14.3,28,944,12.5,7057,14850.5
5,2023/06/09 03:30,0.1,11225,8,5.7,38,1053,19.9,7092,7797.4
5,2023/06/09 03:45,16.7,12239,207,40.1,9,911,3.4,3904,11737.4
5,2023/06/09 04:00,14.9,15734,269,21.2,68,819,9.9,4060,14395.2
5,2023/06/09 04:15,15.0,2021,153,35.9,38,805,5.1,12339,4463.7
5,2023/06/09 04:30,16.6,15446,211,46.3,32,1182,8.8,1260,16951.1
5,2023/06/09 04:45,6.2,2522,322,-9.4,84,992,6.0,14019,4020.0
5,2023/06/09 05:00,9.4,8012,224,14.2,15,1012,5.2,10909,112.6
5,2023/06/09 05:15,11.9,5903,306,25.4,21,902,13.1,15886,618.9
5,2023/06/09 05:30,12.9,10034,72,31.5,77,1102,16.4,4369,6242.4
5,2023/06/09 05:45,6.1,14368,183,35.5,47,957,2.3,1548,12824.0
5,2023/06/09 06:00,10.5,10670,131,13.8,78,812,12.6,8378,8196.9
5,2023/06/09 06:15,14.3,5447,254,6.5,46,1059,5.4,6630,19411.1
5,2023/06/09 06:30,9.2,18081,33,49.0,2,1010,1.6,4439,10650.8
5,2023/06/09 06:45,14.2,18405,6,-12.6,75,1072,13.5,930,14870.8
5,2023/06/09 07:00,15.9,16599,247,-18.2,78,1134,1.1,2925,102.4
5,2023/06/09 07:15,6.5,17298,69,15.5,88,879,3.1,10873,4595.2
5,2023/06/09 07:30,1.2,343,266,49.7,11,969,7.5,8572,2051.1
5,2023/06/09 07:45,19.7,3913,52,5.5,7,966,17.7,14622,4002.5
5,2023/06/09 08:00,4.8,8675,10,40.9,70,895,13.3,10291,3506.9
5,2023/06/09 08:15,3.7,12465,323,11.4,19,878,8.1,3568,4359.4
5,2023/06/09 08:30,6.8,6984,304,34.6,12,912,6.2,967,5486.2
5,2023/06/09 08:45,5.2,1810,356,29.5,52,1117,14.0,1974,7480.4
5,2023/06/09 09:00,19.1,11929,48,5.5,13,1129,11.6,6981,9001.6
5,2023/06/09 09:15,6.2,19004,21,-1.0,64,1122,11.2,9626,4477.4
5,2023/06/09 09:30,9.4,19304,28,47.9,63,1014,13.6,11992,5394.4
5,2023/06/09 09:45,5.2,16514,144,25.2,90,1006,18.8,12432,2227.5
5,2023/06/09 10:00,10.7,13972,276,17.6,28,948,11.7,10957,2777.5
5,2023/06/09 10:15,1.4,11091,23,43.7,44,874,3.1,3676,3133.4
5,2023/06/09 10:30,10.5,18360,166,-15.6,68,1045,5.6,651,9521.0
5,2023/06/09 10:45,7.2,11665,46,2.6,63,1107,6.8,16021,8064.1
5,2023/06/09 11:00,5.7,13006,89,39.3,96,916,11.2,3291,17352.2
5,2023/06/09 11:15,18.7,15101,328,41.1,85,1096,2.1,6785,18065.6
5,2023/06/09 11:30,6.2,16088,360,-17.3,53,820,13.4,11388,12767.1
5,2023/06/09 11:45,0.7,15112,281,20.3,75,1087,6.8,10984,12090.1
5,2023/06/09 12:00,8.2,5673,113,3.4,10,1174,2.8,18605,13058.9
5,2023/06/09 12:15,15.8,13280,93,22.6,63,1147,13.1,4823,7659.7
5,2023/06/09 12:30,9.5,10204,12,27.7,11,836,19.1,2761,7054.3
5,2023/06/09 12:45,19.8,14139,316,6.3,93,1049,6.0,17622,13068.2
5,2023/06/09 13:00,16.8,9136,162,45.9,68,1111,8.0,11212,17365.5
5,2023/06/09 13:15,14.5,11385,136,26.9,34,874,14.9,5671,6401.1
5,2023/06/09 13:30,16.9,2075,236,41.3,34,1101,6.6,12698,18531.9
5,2023/06/09 13:45,18.3,15033,262,14.4,25,824,10.6,14222,4931.9
5,2023/06/09 14:00,13.0,11646,132,-16.4,54,1182,4.9,10049,9428.2
5,2023/06/09 14:15,9.9,10276,39,33.5,43,1119,15.4,18172,17702.4
5,2023/06/09 14:30,10.0,3312,314,23.1,48,968,10.6,11206,4478.3
5,2023/06/09 14:45,9.1,9426,293,34.7,88,808,11.1,2035,9803.5
5,2023/06/09 15:00,12.4,1356,1,-6.3,0,1114,19.6,1069,1060.5
5,2023/06/09 15:15,4.4,5608,63,16.4,93,1165,5.2,7649,9235.8
5,2023/06/09 15:30,19.2,6342,177,35.2,25,1180,19.5,12802,17630.8
5,2023/06/09 15:45,9.1,16302,321,3.4,3,967,12.5,13600,18255.7
5,2023/06/09 16:00,14.4,730,337,-15.9,83,805,18.1,18352,1737.3
5,2023/06/09 16:15,1.0,11246,161,47.9,41,957,5.0,7155,6147.1
5,2023/06/09 16:30,18.0,12047,23,17.9,59,1149,4.9,3257,8948.1
5,2023/06/09 16:45,7.6,9105,87,-13.0,26,826,12.9,3845,17988.1
5,2023/06/09 17:00,2.8,18089,202,-5.5,75,1012,0.4,15273,7934.3
5,2023/06/09 17:15,8.6,3727,220,34.8,14,824,17.6,5014,6850.7
5,2023/06/09 17:30,19.6,8619,360,29.1,51,911,12.8,19586,14789.6
5,2023/06/09 17:45,18.6,15668,171,46.8,82,926,7.7,4369,19120.0
5,2023/06/09 18:00,2.0,4483,73,26.1,74,952,5.9,9261,4483.6
5,2023/06/09 18:15,18.1,17956,117,-10.9,90,1173,9.9,13881,3431.6
5,2023/06/09 18:30,13.6,6935,298,-5.8,81,1017,5.5,17574,8627.7
5,2023/06/09 18:45,17.2,13324,105,13.0,47,823,2.2,11191,2610.0
5,2023/06/09 19:00,1.3,2773,297,-9.3,8,961,15.0,13471,1685.6
5,2023/06/09 19:15,0.4,51,79,18.7,46,972,13.9,18362,19020.0
5,2023/06/09 19:30,15.8,216,42,14.6,68,889,16.3,17916,15978.6
5,2023/06/09 19:45,18.3,6758,180,11.8,39,953,3.3,6593,9752.7
