TurbID,DATATIME,WINDSPEED,PREPOWER,WINDDIRECTION,TEMPERATURE,HUMIDITY,PRESSURE,"ROUND(A.WS,1)","ROUND(A.POWER,0)",YD15
9,2023/06/09 00:00,15.7,19712,271,-16.8,0,1137,15.8,7138,18681.6
9,2023/06/09 00:15,8.3,19219,271,20.8,67,1129,17.2,19165,1397.3
9,2023/06/09 00:30,5.0,6588,230,-1.3,69,934,10.5,3016,11732.3
9,2023/06/09 00:45,3.0,18071,121,22.6,66,993,7.1,5913,17896.8
9,2023/06/09 01:00,8.9,7880,221,-10.8,63,1192,12.0,6440,18220.8
9,2023/06/09 01:15,14.1,4133,310,49.0,24,1156,4.7,10812,12914.6
9,2023/06/09 01:30,0.4,16996,258,45.7,5,836,9.0,5742,5696.5
9,2023/06/09 01:45,2.7,3735,171,-7.5,88,1092,4.6,9311,13496.1
9,2023/06/09 02:00,9.3,16161,243,-16.3,92,1073,20.0,4339,4727.7
9,2023/06/09 02:15,13.6,8742,17,8.1,5,1082,3.7,7848,9912.2
9,2023/06/09 02:30,1.0,9571,207,43.3,13,935,16.7,12792,4806.3
9,2023/06/09 02:45,3.4,9314,228,35.3,31,1103,8.9,1389,13876.0
9,2023/06/09 03:00,0.1,6738,345,7.4,72,915,8.2,19025,12823.2
9,2023/06/09 03:15,9.2,14562,252,-15.6,52,815,10.3,6813,19475.7
9,2023/06/09 03:30,8.3,2632,84,-6.5,81,803,1.8,13757,10861.7
9,2023/06/09 03:45,1.3,18901,197,-14.5,55,893,0.0,6350,121.0
9,2023/06/09 04:00,19.1,501,132,-0.7,44,1166,16.5,3428,15187.1
9,2023/06/09 04:15,12.2,6025,114,39.2,43,834,16.5,2090,12296.9
9,2023/06/09 04:30,9.8,11426,134,36.4,52,1145,0.1,2949,9911.8
9,2023/06/09 04:45,16.7,8935,216,20.4,70,838,0.7,8874,10015.7
9,2023/06/09 05:00,12.6,6185,345,28.0,12,842,19.9,14943,5488.6
9,2023/06/09 05:15,18.2,11926,230,29.8,3,1029,9.0,19401,14231.3
9,2023/06/09 05:30,7.2,10393,90,4.1,82,897,5.0,4089,7735.9
9,2023/06/09 05:45,16.9,7868,341,10.3,75,826,2.2,15122,12376.2
9,2023/06/09 06:00,12.9,16329,189,3.1,49,1157,2.0,19637,16269.9
9,2023/06/09 06:15,3.2,1257,286,-1.4,87,1094,8.1,8791,10930.0
9,2023/06/09 06:30,15.9,5969,311,7.2,2,918,8.0,1951,1718.7
9,2023/06/09 06:45,19.6,8379,87,32.7,16,1026,19.4,8458,19099.6
9,2023/06/09 07:00,0.5,4083,330,-4.9,15,955,19.4,5469,19239.9
9,2023/06/09 07:15,7.7,4216,150,-1.1,73,1183,17.6,17600,9487.1
9,2023/06/09 07:30,2.0,12129,3,49.2,7,887,10.4,7703,5714.6
9,2023/06/09 07:45,18.1,16931,188,6.5,48,1152,8.5,13833,3509.5
9,2023/06/09 08:00,13.9,5821,227,43.2,36,887,8.1,3117,8939.6
9,2023/06/09 08:15,17.0,6537,349,22.3,49,930,19.7,12979,11419.6
9,2023/06/09 08:30,4.2,17605,36,-16.4,28,1051,16.1,1819,12780.2
9,2023/06/09 08:45,17.5,12700,332,2.6,27,1071,11.4,9242,3424.1
9,2023/06/09 09:00,9.1,3158,317,34.6,13,1053,9.2,9215,6237.5
9,2023/06/09 09:15,19.3,4541,358,0.9,9,842,18.7,7750,11187.3
9,2023/06/09 09:30,4.6,7790,235,43.4,22,868,16.1,14226,15603.1
9,2023/06/09 09:45,7.9,2259,187,21.4,54,1155,8.4,8798,2644.3
9,2023/06/09 10:00,16.8,13591,100,26.9,44,1155,14.4,13252,17954.0
9,2023/06/09 10:15,3.0,7278,265,-9.3,88,1125,8.4,441,1050.5
9,2023/06/09 10:30,12.8,4355,136,7.4,26,1106,3.5,4067,13787.5
9,2023/06/09 10:45,11.1,10741,250,13.2,0,1059,3.7,17878,7592.6
9,2023/06/09 11:00,3.6,7683,281,7.9,47,844,16.3,7128,6140.3
9,2023/06/09 11:15,6.0,16941,152,42.9,49,907,0.1,12578,2226.7
9,2023/06/09 11:30,15.7,4990,221,33.3,63,1180,18.6,10600,13973.2
9,2023/06/09 11:45,1.1,3796,53,40.3,61,1023,0.0,4273,5780.7
9,2023/06/09 12:00,17.8,2931,191,37.7,40,1138,3.3,6726,19267.7
9,2023/06/09 12:15,13.6,5767,221,16.5,92,990,15.8,10405,15726.8
9,2023/06/09 12:30,3.8,11615,72,8.6,11,832,13.4,6008,5002.0
9,2023/06/09 12:45,2.5,13997,144,42.7,13,1171,18.4,7754,19266.7
9,2023/06/09 13:00,3.9,5886,203,-16.6,54,890,0.0,16187,8933.5
9,2023/06/09 13:15,8.5,4087,148,33.2,96,966,4.6,18848,12760.7
9,2023/06/09 13:30,11.3,17515,20,44.3,40,957,14.4,3971,19413.9
9,2023/06/09 13:45,2.2,9180,188,0.2,13,1041,5.8,6595,15367.0
9,2023/06/09 14:00,18.9,204,220,34.8,33,989,18.1,10211,1677.7
9,2023/06/09 14:15,8.8,11216,338,48.5,61,1104,7.0,6396,14676.2
9,2023/06/09 14:30,15.4,1881,76,6.6,48,905,14.3,9392,3601.8
9,2023/06/09 14:45,2.7,2639,31,34.9,61,1104,6.2,7823,12160.6
9,2023/06/09 15:00,10.7,11935,218,-3.0,94,1163,4.1,715,6563.3
9,2023/06/09 15:15,13.2,10692,325,11.4,61,1181,2.8,12152,7000.7
9,2023/06/09 15:30,9.8,19268,352,26.3,39,952,16.6,1616,18077.4
9,2023/06/09 15:45,13.6,928,85,13.6,14,1151,18.5,19680,17056.5
9,2023/06/09 16:00,14.0,8642,285,28.8,84,976,18.0,2077,15817.6
9,2023/06/09 16:15,8.3,10614,203,44.1,77,970,13.3,9203,9524.7
9,2023/06/09 16:30,12.6,12405,81,-5.4,31,1199,17.4,1444,5091.2
9,2023/06/09 16:45,1.8,8993,88,1.4,97,1076,8.2,19451,14839.2
9,2023/06/09 17:00,17.6,12871,7,40.6,86,1038,8.7,6940,18785.3
9,2023/06/09 17:15,16.7,16844,272,17.7,87,859,14.0,4692,11049.6
9,2023/06/09 17:30,10.7,14412,259,7.9,6,1117,16.0,1135,14312.3
9,2023/06/09 17:45,12.7,15675,4,33.3,99,1110,14.2,7777,18219.0
9,2023/06/09 18:00,16.5,16479,56,9.2,18,864,0.4,1462,14812.6
9,2023/06/09 18:15,6.3,5242,275,44.0,85,1065,2.1,13790,15000.4
9,2023/06/09 18:30,0.0,18657,25,7.0,67,1019,3.4,17536,1560.6
9,2023/06/09 18:45,15.2,10949,170,46.1,24,1035,17.0,13100,4217.7
9,2023/06/09 19:00,11.3,4567,293,11.4,9,1075,2.2,1490,14934.3
9,2023/06/09 19:15,8.6,3767,164,10.8,29,970,17.0,7290,2822.9
9,2023/06/09 19:30,14.1,10424,139,-9.7,13,1056,7.6,14598,19024.4
9,2023/06/09 19:45,14.4,11703,24,49.9,68,1144,11.7,19874,183.5
9,2023/06/09 20:00,17.1,7075,295,38.0,78,1189,3.7,16677,6059.8
9,2023/06/09 20:15,5.3,3069,165,0.2,79,1133,18.5,9850,6714.5
9,2023/06/09 20:30,5.7,17405,57,25.1,93,922,11.6,10495,10136.4
9,2023/06/09 20:45,10.7,18757,302,37.9,40,858,14.0,4920,2422.2
9,2023/06/09 21:00,6.6,5122,17,8.0,69,935,13.5,4467,17174.7
9,2023/06/09 21:15,15.6,14813,335,11.8,20,918,15.8,8420,11958.4
9,2023/06/09 21:30,8.6,4771,334,26.4,13,924,12.5,9553,599.2
9,2023/06/09 21:45,14.8,11867,336,-4.7,81,1089,15.4,3322,8479.6
9,2023/06/09 22:00,15.8,3666,303,-9.0,69,978,3.6,5579,10371.0
9,2023/06/09 22:15,15.4,15653,321,1.7,28,905,16.1,15722,723.4
9,2023/06/09 22:30,1.6,5047,83,46.7,14,1117,6.4,19647,7326.0
9,2023/06/09 22:45,14.3,9345,37,46.9,81,901,5.2,16300,10767.3
9,2023/06/09 23:00,8.5,10377,34,14.1,28,1151,16.2,1819,5524.8
9,2023/06/09 23:15,6.4,10552,103,-11.3,52,1172,8.8,11177,12224.0
9,2023/06/09 23:30,7.7,5216,129,36.2,48,921,0.8,13479,6729.2
9,2023/06/09 23:45,12.2,979,200,33.7,29,1128,11.6,1531,9928.7
9,2023/06/10 00:00,1.0,1871,270,25.3,35,1143,10.7,9967,12406.7
9,2023/06/10 00:15,2.1,2417,186,-17.1,10,880,15.4,19101,10400.6
9,2023/06/10 00:30,16.8,15820,322,32.9,91,1096,15.4,682,1651.4
9,2023/06/10 00:45,19.3,10451,223,48.3,18,943,11.2,5911,13653.3
9,2023/06/10 01:00,11.7,12148,288,33.0,43,893,14.3,3864,15220.5
9,2023/06/10 01:15,13.0,19643,286,13.2,48,1073,0.3,19180,358.8
9,2023/06/10 01:30,9.8,16771,338,43.6,25,904,14.5,7225,6336.9
9,2023/06/10 01:45,1.7,9549,307,31.3,46,901,13.9,14626,3549.2
9,2023/06/10 02:00,4.9,7875,182,18.6,36,1111,19.3,870,7973.5
9,2023/06/10 02:15,13.6,14326,114,36.1,13,917,5.5,16336,17984.8
9,2023/06/10 02:30,0.9,25,3,22.0,81,907,0.2,3190,7875.0
9,2023/06/10 02:45,15.5,11440,172,-13.3,91,1196,9.8,6759,2078.4
9,2023/06/10 03:00,2.9,14644,328,25.5,26,1058,19.8,346,11634.0
9,2023/06/10 03:15,15.8,14658,22,37.4,19,1066,3.7,12323,6065.4
9,2023/06/10 03:30,13.1,2905,24,2.1,14,1187,5.7,14608,2374.7
9,2023/06/10 03:45,6.4,8121,109,39.3,17,970,8.5,11153,19471.8
9,2023/06/10 04:00,16.1,11171,160,24.4,39,857,2.4,3082,293.2
9,2023/06/10 04:15,2.9,18545,210,-6.5,15,1049,10.7,2102,18978.7
9,2023/06/10 04:30,7.2,4411,26,28.8,74,1166,5.6,4555,19590.4
